file,life_stage,adults
Epargyreus clarus1503055.jpg,-,1
Epargyreus clarus1520325.jpg,-,1
Epargyreus clarus1521682.jpg,-,1
Epargyreus clarus1528809.jpg,-,1
Epargyreus clarus1531450.jpg,-,1
Epargyreus clarus1536432.jpg,-,1
Epargyreus clarus1536867.jpg,-,1
Epargyreus clarus1542001.jpg,-,1
Epargyreus clarus1543588.jpg,-,1
Epargyreus clarus1546303.jpg,-,1
Epargyreus clarus1548030.jpg,-,1
Epargyreus clarus1550190.jpg,-,1
Epargyreus clarus1550717.jpg,-,1
Epargyreus clarus1551042.jpg,-,1
Epargyreus clarus1553023.jpg,-,1
Epargyreus clarus1557620.jpg,-,1
Epargyreus clarus1558854.jpg,-,1
Epargyreus clarus1558917.jpg,-,1
Epargyreus clarus1559842.jpg,-,1
Epargyreus clarus1562319.jpg,-,1
Epargyreus clarus1562477.jpg,-,1
Epargyreus clarus1569031.jpg,-,1
Epargyreus clarus1574999.jpg,-,1
Epargyreus clarus1577345.jpg,-,1
Epargyreus clarus1578433.jpg,-,1
Epargyreus clarus1578846.jpg,-,1
Epargyreus clarus1580402.jpg,-,1
Epargyreus clarus1593031.jpg,-,1
Epargyreus clarus1597932.jpg,-,1
Epargyreus clarus1597968.jpg,-,1
Epargyreus clarus1602719.jpg,-,1
Epargyreus clarus1603669.jpg,-,1
Epargyreus clarus1605445.jpg,-,1
Epargyreus clarus1611097.jpg,-,1
Epargyreus clarus1611577.jpg,-,1
Epargyreus clarus1614976.jpg,-,1
Epargyreus clarus1615712.jpg,-,1
Epargyreus clarus1615778.jpg,-,1
Epargyreus clarus1617349.jpg,-,1
Epargyreus clarus1620279.jpg,-,1
Epargyreus clarus1620841.jpg,-,1
Epargyreus clarus1628305.jpg,-,1
Epargyreus clarus1628696.jpg,-,1
Epargyreus clarus1640089.jpg,-,1
Epargyreus clarus1642576.jpg,-,1
Epargyreus clarus1643115.jpg,-,1
Epargyreus clarus1646397.jpg,-,1
Epargyreus clarus1647990.jpg,-,1
Epargyreus clarus1658384.jpg,-,1
Epargyreus clarus1668681.jpg,-,1
Epargyreus clarus1669026.jpg,-,1
Epargyreus clarus1672727.jpg,-,1
Epargyreus clarus1691565.jpg,-,1
Epargyreus clarus1692906.jpg,-,1
Epargyreus clarus1692970.jpg,-,1
Epargyreus clarus1693021.jpg,-,1
Epargyreus clarus1695895.jpg,-,1
Epargyreus clarus1696875.jpg,-,1
Epargyreus clarus1699820.jpg,-,1
Epargyreus clarus1700888.jpg,-,1
Epargyreus clarus1701106.jpg,-,1
Epargyreus clarus1703514.jpg,-,1
Epargyreus clarus1705164.jpg,-,1
Epargyreus clarus1706883.jpg,-,1
Epargyreus clarus1706977.jpg,-,1
Epargyreus clarus1707220.jpg,-,1
Epargyreus clarus1710010.jpg,-,1
Epargyreus clarus1711529.jpg,-,1
Epargyreus clarus1711654.jpg,-,1
Epargyreus clarus1717210.jpg,-,1
Epargyreus clarus1717506.jpg,-,1
Epargyreus clarus1717553.jpg,-,1
Epargyreus clarus1719515.jpg,-,1
Epargyreus clarus1719550.jpg,-,1
Epargyreus clarus1720249.jpg,-,1
Epargyreus clarus1720522.jpg,-,1
Epargyreus clarus1722089.jpg,-,1
Epargyreus clarus1722228.jpg,-,1
Epargyreus clarus1723028.jpg,-,1
Epargyreus clarus1723116.jpg,-,1
Epargyreus clarus1726423.jpg,-,1
Epargyreus clarus1728890.jpg,-,1
Epargyreus clarus1730160.jpg,-,1
Epargyreus clarus1730229.jpg,-,1
Epargyreus clarus1736082.jpg,-,1
Epargyreus clarus1736312.jpg,-,1
Epargyreus clarus1736337.jpg,-,1
Epargyreus clarus1737027.jpg,-,1
Epargyreus clarus1737097.jpg,-,1
Epargyreus clarus1737109.jpg,L,0
Epargyreus clarus1738103.jpg,-,1
Epargyreus clarus1738617.jpg,-,1
Epargyreus clarus1738795.jpg,-,1
Epargyreus clarus1740359.jpg,-,1
Epargyreus clarus1740871.jpg,-,1
Epargyreus clarus1740873.jpg,-,1
Epargyreus clarus1741286.jpg,-,U
Epargyreus clarus1741412.jpg,-,1
Epargyreus clarus1741944.jpg,-,1
Epargyreus clarus1742163.jpg,-,1
Epargyreus clarus1745444.jpg,-,1
Epargyreus clarus1746308.jpg,-,1
Epargyreus clarus1746499.jpg,-,1
Epargyreus clarus1748014.jpg,-,1
Epargyreus clarus1748568.jpg,-,1
Epargyreus clarus1748940.jpg,-,1
Epargyreus clarus1749113.jpg,-,1
Epargyreus clarus1749196.jpg,-,1
Epargyreus clarus1753354.jpg,-,1
Epargyreus clarus1757315.jpg,-,1
Epargyreus clarus1758617.jpg,-,1
Epargyreus clarus1759499.jpg,-,1
Epargyreus clarus1759784.jpg,-,1
Epargyreus clarus1765617.jpg,-,1
Epargyreus clarus1767004.jpg,-,1
Epargyreus clarus1767012.jpg,-,1
Epargyreus clarus1771385.jpg,-,1
Epargyreus clarus1771580.jpg,-,1
Epargyreus clarus1772359.jpg,-,1
Epargyreus clarus1775559.jpg,-,1
Epargyreus clarus1775715.jpg,-,1
Epargyreus clarus1778459.jpg,-,1
Epargyreus clarus1779506.jpg,-,1
Epargyreus clarus1782706.jpg,-,1
Epargyreus clarus1783227.jpg,-,1
Epargyreus clarus1784038.jpg,-,1
Epargyreus clarus1784182.jpg,-,1
Epargyreus clarus1786172.jpg,-,1
Epargyreus clarus17864.jpg,-,1
Epargyreus clarus1787187.jpg,-,1
Epargyreus clarus1787381.jpg,-,1
Epargyreus clarus1787669.jpg,-,1
Epargyreus clarus1788501.jpg,-,1
Epargyreus clarus1788530.jpg,-,1
Epargyreus clarus1789781.jpg,-,1
Epargyreus clarus1791575.jpg,-,1
Epargyreus clarus1792502.jpg,-,1
Epargyreus clarus1796496.jpg,-,1
Epargyreus clarus1797333.jpg,-,1
Epargyreus clarus1799048.jpg,-,1
Epargyreus clarus1802320.jpg,-,1
Epargyreus clarus1803527.jpg,-,1
Epargyreus clarus180396.jpg,-,1
Epargyreus clarus1804162.jpg,-,1
Epargyreus clarus1804455.jpg,-,1
Epargyreus clarus1809206.jpg,-,1
