file,life_stage,adults
p_polyxenes13521048.jpg,L,0
,,
p_polyxenes13549723.jpg,L,0
,,
p_polyxenes13560021.jpg,-,1
,,
p_polyxenes13560067.jpg,-,1
,,
p_polyxenes13560631.jpg,L,0
,,
p_polyxenes13588676.jpg,L,0
,,
p_polyxenes13598312.jpg,L,0
,,
p_polyxenes13602164.jpg,-,1
,,
p_polyxenes13625801.jpg,L,0
,,
p_polyxenes13630995.jpg,-,1
,,
p_polyxenes13642117.jpg,L,0
,,
p_polyxenes13653911.jpg,L,0
,,
p_polyxenes13654619.jpg,-,1
,,
p_polyxenes13665073.jpg,L,0
,,
p_polyxenes13665806.jpg,L,0
,,
p_polyxenes13668156.jpg,L,0
,,
p_polyxenes13678620.jpg,-,1
,,
p_polyxenes13679387.jpg,L,0
,,
p_polyxenes13703518.jpg,L,0
,,
p_polyxenes13709335.jpg,-,1
,,
p_polyxenes13734316.jpg,L,0
,,
p_polyxenes13738079.jpg,L,0
,,
p_polyxenes13748671.jpg,P,0
,,
p_polyxenes13753963.jpg,-,1
,,
p_polyxenes13754517.jpg,L,0
,,
p_polyxenes13778674.jpg,L,0
,,
p_polyxenes13786166.jpg,L,0
,,
p_polyxenes13786173.jpg,L,0
,,
p_polyxenes13789051.jpg,L,0
,,
p_polyxenes13799977.jpg,L,0
,,
p_polyxenes13808130.jpg,L,0
,,
p_polyxenes13810784.jpg,L,0
,,
p_polyxenes13816887.jpg,L,0
,,
p_polyxenes13822641.jpg,-,1
,,
p_polyxenes13828985.jpg,L,0
,,
p_polyxenes13834907.jpg,-,1
,,
p_polyxenes13839211.jpg,L,0
,,
p_polyxenes13846905.jpg,-,1
,,
p_polyxenes13849361.jpg,-,1
,,
p_polyxenes13885014.jpg,-,1
,,
p_polyxenes13886402.jpg,-,1
,,
p_polyxenes13890630.jpg,-,1
,,
p_polyxenes13892230.jpg,L,0
,,
p_polyxenes13896173.jpg,L,0
,,
p_polyxenes13899432.jpg,P,0
,,
p_polyxenes13907582.jpg,L,0
,,
p_polyxenes13910426.jpg,L,0
,,
p_polyxenes13933060.jpg,L,0
,,
p_polyxenes13942176.jpg,-,1
,,
p_polyxenes13951657.jpg,L,0
,,
p_polyxenes13955928.jpg,-,1
,,
p_polyxenes13957123.jpg,-,1
,,
p_polyxenes13966234.jpg,-,1
,,
p_polyxenes13970427.jpg,L,0
,,
p_polyxenes13976591.jpg,-,1
,,
p_polyxenes13978727.jpg,-,1
,,
