estimate,low_ci,high_ci,year,lat_bin,lon_bin,scientificName
179,158,199,2015,41.5,-93.5,Danaus plexippus
183.8,152,219,2016,41.5,-93.5,Danaus plexippus
190,176,192.1,2017,41.5,-93.5,Danaus plexippus
154,146,184,2018,41.5,-93.5,Danaus plexippus
206.8,172,218,2018,38.5,-90.5,Danaus plexippus
174,174,233.2,2018,41.5,-90.5,Danaus plexippus
189.2,134,203,2018,40.5,-89.5,Danaus plexippus
208.4,202,213.2,2015,41.5,-88.5,Danaus plexippus
202.3,177,210,2017,41.5,-88.5,Danaus plexippus
180.1,144,185.1,2018,41.5,-88.5,Danaus plexippus
182.1,178,186.1,2014,41.5,-87.5,Danaus plexippus
192,165,198.8,2015,41.5,-87.5,Danaus plexippus
219.8,201,226.8,2016,41.5,-87.5,Danaus plexippus
175.6,163.6,189,2017,41.5,-87.5,Danaus plexippus
174,164,176,2018,41.5,-87.5,Danaus plexippus
195,168,200,2018,41.5,-85.5,Danaus plexippus
216.5,206,224.9,2015,39.5,-84.5,Danaus plexippus
193.6,177,230.6,2016,39.5,-84.5,Danaus plexippus
166.4,143,183.8,2017,39.5,-84.5,Danaus plexippus
190,165,195,2017,41.5,-83.5,Danaus plexippus
256.4,251,272.6,2016,39.5,-82.5,Danaus plexippus
205.2,201,211,2017,39.5,-82.5,Danaus plexippus
215,215,227.8,2017,40.5,-82.5,Danaus plexippus
193,156,207,2014,41.5,-81.5,Danaus plexippus
203,165,209.8,2015,41.5,-81.5,Danaus plexippus
203.9,164,213.8,2016,41.5,-81.5,Danaus plexippus
196,179,198,2017,41.5,-81.5,Danaus plexippus
208.2,170,223.8,2015,38.5,-77.5,Danaus plexippus
197.8,140,234.4,2016,38.5,-77.5,Danaus plexippus
193.3,175.3,204,2017,38.5,-77.5,Danaus plexippus
175,128.6,191.8,2015,41.5,-93.5,Phyciodes tharos
219.1,179,222.7,2016,41.5,-93.5,Phyciodes tharos
147.2,146,174,2018,41.5,-93.5,Phyciodes tharos
183.2,173.6,201.6,2018,38.5,-90.5,Phyciodes tharos
193.5,138,210,2018,41.5,-88.5,Phyciodes tharos
153,149,156,2014,41.5,-87.5,Phyciodes tharos
166,141,204,2015,41.5,-87.5,Phyciodes tharos
224.8,129,238.2,2016,41.5,-87.5,Phyciodes tharos
162.8,154,177.1,2017,41.5,-87.5,Phyciodes tharos
179.6,156,188,2018,41.5,-87.5,Phyciodes tharos
180,134.5,192,2016,39.5,-84.5,Phyciodes tharos
131.6,113,140.7,2017,39.5,-84.5,Phyciodes tharos
132.4,127,147.4,2017,40.5,-83.5,Phyciodes tharos
143.4,116.5,154.6,2017,41.5,-83.5,Phyciodes tharos
125.8,118,134.7,2017,39.5,-82.5,Phyciodes tharos
181,140,182.8,2016,41.5,-82.5,Phyciodes tharos
169,145,194.5,2014,41.5,-81.5,Phyciodes tharos
175.8,132,181.6,2015,41.5,-81.5,Phyciodes tharos
140.6,115,141,2016,41.5,-81.5,Phyciodes tharos
150,117.9,189,2017,41.5,-81.5,Phyciodes tharos
190,190,212.8,2014,38.5,-77.5,Phyciodes tharos
132,131,132.2,2015,38.5,-77.5,Phyciodes tharos
130.8,104,141,2016,38.5,-77.5,Phyciodes tharos
116.1,100.8,118.2,2017,38.5,-77.5,Phyciodes tharos
154.8,114,182.6,2017,41.5,-93.5,Papilio glaucus
146.2,127,148.8,2018,41.5,-93.5,Papilio glaucus
196.4,194,210.6,2016,38.5,-90.5,Papilio glaucus
190,128,205,2017,38.5,-90.5,Papilio glaucus
117,117,120,2018,38.5,-90.5,Papilio glaucus
192.5,134,200,2018,41.5,-88.5,Papilio glaucus
189,185,196,2014,41.5,-87.5,Papilio glaucus
187.8,152,205,2016,41.5,-87.5,Papilio glaucus
164.7,156.1,173.2,2017,41.5,-87.5,Papilio glaucus
170.4,154,175.4,2018,41.5,-87.5,Papilio glaucus
181.5,115,191,2016,39.5,-84.5,Papilio glaucus
127,104,148.2,2017,39.5,-84.5,Papilio glaucus
148,143,152.5,2017,41.5,-83.5,Papilio glaucus
129,115,167,2016,39.5,-82.5,Papilio glaucus
