estimate,low_ci,high_ci,year,lat_bin,lon_bin,scientificName
106.6,95,116.6,2017,39.5,-82.5,Papilio glaucus
193.8,156,206.1,2014,41.5,-81.5,Papilio glaucus
139.8,125,187.3,2015,41.5,-81.5,Papilio glaucus
141,121,141,2016,41.5,-81.5,Papilio glaucus
195.2,150,197,2017,41.5,-81.5,Papilio glaucus
122,117,130,2014,38.5,-77.5,Papilio glaucus
177.8,98,194,2015,38.5,-77.5,Papilio glaucus
141,113.4,141,2016,38.5,-77.5,Papilio glaucus
100,93.6,100,2017,38.5,-77.5,Papilio glaucus
159.2,155,167,2015,41.5,-93.5,Pieris rapae
151.4,127,158.4,2016,41.5,-93.5,Pieris rapae
110.2,102,122,2017,41.5,-93.5,Pieris rapae
157.2,148,163,2018,41.5,-93.5,Pieris rapae
173.4,119,214,2018,38.5,-90.5,Pieris rapae
151,97,161.8,2017,41.5,-88.5,Pieris rapae
118.3,105,164,2018,41.5,-88.5,Pieris rapae
141.5,89,165,2016,41.5,-87.5,Pieris rapae
167.2,105,188.2,2017,41.5,-87.5,Pieris rapae
184.7,167,196.5,2018,41.5,-87.5,Pieris rapae
115,87,163,2016,39.5,-84.5,Pieris rapae
102.1,92,113.7,2017,39.5,-84.5,Pieris rapae
133.5,101,152,2017,41.5,-83.5,Pieris rapae
127.2,126,131,2014,41.5,-82.5,Pieris rapae
130.8,129,131.9,2015,41.5,-82.5,Pieris rapae
126.8,118,176.3,2016,41.5,-82.5,Pieris rapae
133.7,122.1,181.7,2017,41.5,-82.5,Pieris rapae
164,162,167.6,2015,41.5,-81.5,Pieris rapae
111.6,108,141,2016,41.5,-81.5,Pieris rapae
118.5,9,146.5,2017,41.5,-81.5,Pieris rapae
113.8,91,166,2014,38.5,-77.5,Pieris rapae
219,141,219,2016,38.5,-77.5,Pieris rapae
101.8,80,110,2017,38.5,-77.5,Pieris rapae
204.8,194,216.5,2016,41.5,-93.5,Epargyreus clarus
147,146,148,2018,41.5,-93.5,Epargyreus clarus
183.8,154,212,2018,38.5,-90.5,Epargyreus clarus
181,160,187,2016,41.5,-88.5,Epargyreus clarus
163,146,175,2018,41.5,-88.5,Epargyreus clarus
196,159,207,2014,41.5,-87.5,Epargyreus clarus
154.9,150,173.8,2015,41.5,-87.5,Epargyreus clarus
202.6,191,213,2016,41.5,-87.5,Epargyreus clarus
157,134,157,2017,41.5,-87.5,Epargyreus clarus
174.7,162.1,185,2018,41.5,-87.5,Epargyreus clarus
176.8,163.8,192,2016,39.5,-84.5,Epargyreus clarus
146,124,151,2017,39.5,-84.5,Epargyreus clarus
153.2,139.4,170.8,2017,41.5,-83.5,Epargyreus clarus
191,187,193,2014,41.5,-81.5,Epargyreus clarus
152,145,176.2,2015,41.5,-81.5,Epargyreus clarus
158.2,139.4,177,2016,41.5,-81.5,Epargyreus clarus
175.1,149.3,180,2017,41.5,-81.5,Epargyreus clarus
166,165,166,2014,38.5,-77.5,Epargyreus clarus
130.8,117,206,2016,38.5,-77.5,Epargyreus clarus
113.4,102,132,2017,38.5,-77.5,Epargyreus clarus
127.5,117,141,2015,41.5,-93.5,Vanessa atalanta
126.1,116,133,2016,41.5,-93.5,Vanessa atalanta
101.4,100,107,2017,41.5,-93.5,Vanessa atalanta
146.9,146,147.9,2018,41.5,-93.5,Vanessa atalanta
99,97,99.8,2017,41.5,-88.5,Vanessa atalanta
137.7,127,164,2018,41.5,-88.5,Vanessa atalanta
138.4,116,167,2015,41.5,-87.5,Vanessa atalanta
123,107,125.8,2016,41.5,-87.5,Vanessa atalanta
105,91,104,2017,41.5,-87.5,Vanessa atalanta
163.1,117,167.4,2018,41.5,-87.5,Vanessa atalanta
172,164,177,2015,39.5,-84.5,Vanessa atalanta
87,86,97.8,2016,39.5,-84.5,Vanessa atalanta
97,92,98,2017,39.5,-84.5,Vanessa atalanta
99,98,130,2017,40.5,-83.5,Vanessa atalanta
106,98,130,2017,41.5,-83.5,Vanessa atalanta
136.5,132,151.4,2015,41.5,-81.5,Vanessa atalanta
116.4,111,122.8,2016,41.5,-81.5,Vanessa atalanta
103.5,98,119.9,2017,41.5,-81.5,Vanessa atalanta
171.8,134,180,2015,38.5,-77.5,Vanessa atalanta
211.9,211,218.3,2015,41.5,-93.5,Junonia coenia
189.5,159,210,2016,41.5,-93.5,Junonia coenia
161.4,155,188,2017,41.5,-93.5,Junonia coenia
192.2,145,212,2017,38.5,-90.5,Junonia coenia
213.9,188,229.4,2018,38.5,-90.5,Junonia coenia
199.8,172,219,2016,41.5,-87.5,Junonia coenia
180.4,171,189,2017,41.5,-87.5,Junonia coenia
200.1,181,209.3,2018,41.5,-87.5,Junonia coenia
228.1,213,247,2016,39.5,-84.5,Junonia coenia
189,168,200.6,2017,39.5,-84.5,Junonia coenia
216.8,175,246,2017,41.5,-81.5,Junonia coenia
236.2,141,248.4,2016,38.5,-77.5,Junonia coenia
199.4,128,215.6,2017,38.5,-77.5,Junonia coenia
161,141,171,2015,41.5,-93.5,Colias eurytheme
146,127,155,2016,41.5,-93.5,Colias eurytheme
184.4,162,199.4,2017,41.5,-93.5,Colias eurytheme
159.5,146.3,186.1,2018,41.5,-93.5,Colias eurytheme
170.6,148.1,183.9,2016,39.5,-84.5,Colias eurytheme
133,114,146,2017,39.5,-84.5,Colias eurytheme
154.5,130,198.5,2017,41.5,-83.5,Colias eurytheme
239,201,247,2016,41.5,-81.5,Colias eurytheme
250,243,250,2017,41.5,-81.5,Colias eurytheme
197.1,108,224.1,2016,38.5,-77.5,Colias eurytheme
103,84,108,2017,38.5,-77.5,Colias eurytheme
160.1,141,204,2018,38.5,-90.5,Papilio polyxenes
185.6,185,188,2018,41.5,-88.5,Papilio polyxenes
220.2,191,236,2016,41.5,-87.5,Papilio polyxenes
179.4,126,190.7,2017,41.5,-87.5,Papilio polyxenes
167.2,128,183,2018,41.5,-87.5,Papilio polyxenes
170.7,114.1,192.5,2016,39.5,-84.5,Papilio polyxenes
113.9,105,118.7,2017,39.5,-84.5,Papilio polyxenes
200.8,200,213.6,2015,41.5,-81.5,Papilio polyxenes
140.8,133,186.8,2016,41.5,-81.5,Papilio polyxenes
152.1,120,183,2017,41.5,-81.5,Papilio polyxenes
77,77,193,2018,41.5,-88.5,Polygonia comma
80.5,48,88.5,2017,41.5,-87.5,Polygonia comma
110.9,56,165,2018,41.5,-87.5,Polygonia comma
78,68,86,2016,39.5,-84.5,Polygonia comma
69,48,87.5,2017,39.5,-84.5,Polygonia comma
99,98,99.5,2017,41.5,-83.5,Polygonia comma
113.3,100,164,2015,41.5,-81.5,Polygonia comma
87,87,108,2016,41.5,-81.5,Polygonia comma
103.5,99,118.4,2017,41.5,-81.5,Polygonia comma
167.4,163,174.4,2018,41.5,-87.5,Speyeria cybele
169.4,158,171.8,2016,39.5,-84.5,Speyeria cybele
161.2,154,168,2017,39.5,-84.5,Speyeria cybele
168.5,166,172.5,2017,41.5,-83.5,Speyeria cybele
182.6,166,185.2,2015,41.5,-81.5,Speyeria cybele
177,176,179.4,2016,41.5,-81.5,Speyeria cybele
177.9,167,183,2017,41.5,-81.5,Speyeria cybele
157.4,157,161.4,2015,38.5,-77.5,Speyeria cybele
158,157,159,2016,38.5,-77.5,Speyeria cybele
204.9,198,218,2018,41.5,-88.5,Limenitis archippus
204.3,189,207,2017,41.5,-87.5,Limenitis archippus
194,174,209,2018,41.5,-87.5,Limenitis archippus
152.1,142.5,168.1,2017,41.5,-83.5,Limenitis archippus
205,153,205.4,2014,41.5,-81.5,Limenitis archippus
164,141,175.1,2015,41.5,-81.5,Limenitis archippus
207.5,155,216,2016,41.5,-81.5,Limenitis archippus
192,150,196.2,2017,41.5,-81.5,Limenitis archippus
122,119,127,2016,39.5,-84.5,Poanes zabulon
135.2,133,149.4,2017,39.5,-84.5,Poanes zabulon
155.1,129,208,2016,41.5,-81.5,Poanes zabulon
208.3,153,209.3,2017,41.5,-81.5,Poanes zabulon
156.6,139,166,2014,38.5,-77.5,Poanes zabulon
146.6,134,162.8,2015,38.5,-77.5,Poanes zabulon
140.5,128,142,2016,38.5,-77.5,Poanes zabulon
138,118.6,140,2017,38.5,-77.5,Poanes zabulon
198,156,218,2016,41.5,-87.5,Ancyloxypha numitor
158.4,157,171.7,2017,41.5,-87.5,Ancyloxypha numitor
180.8,179,187.3,2018,41.5,-87.5,Ancyloxypha numitor
149.2,141,163.6,2016,39.5,-84.5,Ancyloxypha numitor
146,136.1,152,2017,39.5,-84.5,Ancyloxypha numitor
161.7,150,167.4,2017,41.5,-81.5,Ancyloxypha numitor
147,135,155,2017,38.5,-77.5,Ancyloxypha numitor
156.6,153,157,2017,41.5,-87.5,Megisto cymela
157,157,163.2,2016,39.5,-84.5,Megisto cymela
146,141,146,2017,39.5,-84.5,Megisto cymela
147.3,147,150.3,2017,41.5,-83.5,Megisto cymela
141,141,154,2015,41.5,-81.5,Megisto cymela
149.6,148,153,2016,41.5,-81.5,Megisto cymela
144.4,139,147.6,2017,41.5,-81.5,Megisto cymela
148.9,146,152.6,2018,41.5,-88.5,Polites peckius
162.5,157,204,2017,41.5,-87.5,Polites peckius
164,148,206,2016,39.5,-84.5,Polites peckius
148,136,155,2017,39.5,-84.5,Polites peckius
170.3,154,220,2016,41.5,-81.5,Polites peckius
209,163,211,2017,41.5,-81.5,Polites peckius
190,190,199.3,2014,38.5,-77.5,Polites peckius
185.2,160,188,2018,41.5,-88.5,Polygonia interrogationis
167,146,171.9,2015,41.5,-87.5,Polygonia interrogationis
114.6,105,134.4,2017,41.5,-87.5,Polygonia interrogationis
168.4,128,179.5,2018,41.5,-87.5,Polygonia interrogationis
103.2,87,156.3,2016,39.5,-84.5,Polygonia interrogationis
98.8,92,118.4,2017,39.5,-84.5,Polygonia interrogationis
172,152,177,2017,41.5,-81.5,Polygonia interrogationis
193.2,186,219,2016,41.5,-87.5,Erynnis baptisiae
196,183,199,2017,41.5,-87.5,Erynnis baptisiae
135.9,128,223,2018,41.5,-87.5,Erynnis baptisiae
211,183,211,2016,39.5,-84.5,Erynnis baptisiae
169.8,167,176.2,2017,39.5,-84.5,Erynnis baptisiae
179.6,123,192,2017,41.5,-81.5,Erynnis baptisiae
157.9,157,193.1,2016,41.5,-88.5,Limenitis arthemis astyanax
199,152,219,2016,41.5,-87.5,Limenitis arthemis astyanax
167.5,161,188,2017,41.5,-87.5,Limenitis arthemis astyanax
195.3,166,207,2018,41.5,-87.5,Limenitis arthemis astyanax
227,221,228.2,2016,39.5,-84.5,Limenitis arthemis astyanax
190,186,194,2017,39.5,-84.5,Limenitis arthemis astyanax
165,134,167,2015,41.5,-87.5,Vanessa virginiensis
115.8,94,160,2016,41.5,-87.5,Vanessa virginiensis
104.3,99,105.6,2017,41.5,-87.5,Vanessa virginiensis
105.8,94,116.5,2016,39.5,-84.5,Vanessa virginiensis
97,92,101.2,2017,39.5,-84.5,Vanessa virginiensis
104,99,141,2017,38.5,-77.5,Vanessa virginiensis
188.8,129.4,214.8,2017,41.5,-93.5,Vanessa cardui
164,110.2,175,2017,41.5,-87.5,Vanessa cardui
159.4,151,198,2017,39.5,-84.5,Vanessa cardui
193.6,152,218.6,2017,41.5,-83.5,Vanessa cardui
217.6,167,244,2017,41.5,-81.5,Vanessa cardui
148.3,123,170,2015,41.5,-93.5,Colias philodice
148.5,126.3,169.8,2016,41.5,-93.5,Colias philodice
113.1,107,128.3,2017,41.5,-93.5,Colias philodice
149,129.4,169.4,2018,41.5,-93.5,Colias philodice
190.9,183,192,2016,39.5,-84.5,Cercyonis pegala
182,179,184,2017,39.5,-84.5,Cercyonis pegala
186.6,183,187,2017,41.5,-81.5,Cercyonis pegala
166,165,166,2014,38.5,-77.5,Cupido comyntas
114.5,104,141,2016,38.5,-77.5,Cupido comyntas
105,93.7,108,2017,38.5,-77.5,Cupido comyntas
146,141,146.8,2018,38.5,-90.5,Papilio troilus
147.4,116,204.2,2016,38.5,-77.5,Papilio troilus
109.2,100.3,121.8,2017,38.5,-77.5,Papilio troilus
190.2,165,193,2014,38.5,-77.5,Atalopedes campestris
189,140.4154148,189,2017,38.5,-77.5,Atalopedes campestris
230,192,230,2016,38.5,-77.5,Euptoieta claudia
137.1,104,184,2017,38.5,-77.5,Euptoieta claudia
101.9,76,115,2016,38.5,-77.5,Eurytides marcellus
101.5,93,106.5,2017,38.5,-77.5,Eurytides marcellus
173.2,148,219,2016,39.5,-84.5,Polites themistocles
148.8,141,159.4,2017,39.5,-84.5,Polites themistocles
196.2,120,242.4,2016,39.5,-84.5,Pyrgus communis
130.9,119,137.3,2017,39.5,-84.5,Pyrgus communis
159.6,141,172.6,2018,38.5,-90.5,Asterocampa celtis
176.7,129,230.7,2017,38.5,-77.5,Lerema accius
157.4,148,168,2017,39.5,-84.5,Nastra lherminier
99.3,79,167.5,2015,41.5,-87.5,Nymphalis antiopa
204.3,198,209.9,2018,41.5,-87.5,Papilio cresphontes
