"estimate","low_ci","high_ci","year","lat_bin","lon_bin","scientificName"
146,137.7,158.3,2017,39.5,-84.5,"Ancyloxypha numitor"
161.7,150,175,2017,41.5,-81.5,"Ancyloxypha numitor"
147,135,184,2017,38.5,-77.5,"Ancyloxypha numitor"
156.6,153,157,2017,41.5,-87.5,"Megisto cymela"
157,157,163.2,2016,39.5,-84.5,"Megisto cymela"
146,144.5,153.7,2017,39.5,-84.5,"Megisto cymela"
147.3,147,153.8,2017,41.5,-83.5,"Megisto cymela"
141,141,154,2015,41.5,-81.5,"Megisto cymela"
149.6,148,153.2,2016,41.5,-81.5,"Megisto cymela"
144.4,140.8,149,2017,41.5,-81.5,"Megisto cymela"
148.9,146,165.4,2018,41.5,-88.5,"Polites peckius"
162.5,157,207.5,2017,41.5,-87.5,"Polites peckius"
164,148,223,2016,39.5,-84.5,"Polites peckius"
148,141,182.894999182654,2017,39.5,-84.5,"Polites peckius"
170.3,154,222.1,2016,41.5,-81.5,"Polites peckius"
209,166.5,214.1,2017,41.5,-81.5,"Polites peckius"
190,190,199.3,2014,38.5,-77.5,"Polites peckius"
185.2,160,214.3,2018,41.5,-88.5,"Polygonia interrogationis"
167,146,192,2015,41.5,-87.5,"Polygonia interrogationis"
114.6,105.4,149.4,2017,41.5,-87.5,"Polygonia interrogationis"
168.4,163,184.5,2018,41.5,-87.5,"Polygonia interrogationis"
103.2,87,230.5,2016,39.5,-84.5,"Polygonia interrogationis"
98.8,92,146,2017,39.5,-84.5,"Polygonia interrogationis"
172,152,178.5,2017,41.5,-81.5,"Polygonia interrogationis"
193.2,186,234.8,2016,41.5,-87.5,"Erynnis baptisiae"
196,184.8,211.4,2017,41.5,-87.5,"Erynnis baptisiae"
135.9,128,230,2018,41.5,-87.5,"Erynnis baptisiae"
211,183,213,2016,39.5,-84.5,"Erynnis baptisiae"
169.8,167.4,182,2017,39.5,-84.5,"Erynnis baptisiae"
179.6,123,215,2017,41.5,-81.5,"Erynnis baptisiae"
157.9,157,208.7,2016,41.5,-88.5,"Limenitis arthemis astyanax"
199,152,222,2016,41.5,-87.5,"Limenitis arthemis astyanax"
167.5,161,206,2017,41.5,-87.5,"Limenitis arthemis astyanax"
195.3,166,209,2018,41.5,-87.5,"Limenitis arthemis astyanax"
227,221,246.1,2016,39.5,-84.5,"Limenitis arthemis astyanax"
190,186,199,2017,39.5,-84.5,"Limenitis arthemis astyanax"
165,134,171,2015,41.5,-87.5,"Vanessa virginiensis"
115.8,94,160.4,2016,41.5,-87.5,"Vanessa virginiensis"
104.3,104,108.8,2017,41.5,-87.5,"Vanessa virginiensis"
105.8,94,148,2016,39.5,-84.5,"Vanessa virginiensis"
97,92,110,2017,39.5,-84.5,"Vanessa virginiensis"
104,99,173,2017,38.5,-77.5,"Vanessa virginiensis"
188.8,157,227.4,2017,41.5,-93.5,"Vanessa cardui"
164,132.1,185.4,2017,41.5,-87.5,"Vanessa cardui"
159.4,151.6,224,2017,39.5,-84.5,"Vanessa cardui"
193.6,152,234,2017,41.5,-83.5,"Vanessa cardui"
217.6,180.2,253,2017,41.5,-81.5,"Vanessa cardui"
148.3,123.9,171,2015,41.5,-93.5,"Colias philodice"
148.5,127,179,2016,41.5,-93.5,"Colias philodice"
113.1,107,177.2,2017,41.5,-93.5,"Colias philodice"
149,135,177,2018,41.5,-93.5,"Colias philodice"
190.9,183,196.5,2016,39.5,-84.5,"Cercyonis pegala"
182,179.4,185.8,2017,39.5,-84.5,"Cercyonis pegala"
186.6,183,193.3,2017,41.5,-81.5,"Cercyonis pegala"
166,165,190.6,2014,38.5,-77.5,"Cupido comyntas"
114.5,106,141,2016,38.5,-77.5,"Cupido comyntas"
105,100.3,108,2017,38.5,-77.5,"Cupido comyntas"
146,141,175,2018,38.5,-90.5,"Papilio troilus"
147.4,116,211,2016,38.5,-77.5,"Papilio troilus"
109.2,103,138,2017,38.5,-77.5,"Papilio troilus"
190.2,165,193,2014,38.5,-77.5,"Atalopedes campestris"
189,182.3,201.5,2017,38.5,-77.5,"Atalopedes campestris"
230,216,248,2016,38.5,-77.5,"Euptoieta claudia"
137.1,104,189,2017,38.5,-77.5,"Euptoieta claudia"
101.9,76,116.7,2016,38.5,-77.5,"Eurytides marcellus"
101.5,96.5,110,2017,38.5,-77.5,"Eurytides marcellus"
173.2,148.6,232.3,2016,39.5,-84.5,"Polites themistocles"
148.8,145,168,2017,39.5,-84.5,"Polites themistocles"
196.2,120,258.5,2016,39.5,-84.5,"Pyrgus communis"
130.9,119,141,2017,39.5,-84.5,"Pyrgus communis"
159.6,141,184,2018,38.5,-90.5,"Asterocampa celtis"
176.7,129,274.4,2017,38.5,-77.5,"Lerema accius"
157.4,148,201.6,2017,39.5,-84.5,"Nastra lherminier"
99.3,79,172.3,2015,41.5,-87.5,"Nymphalis antiopa"
204.3,198,213.2,2018,41.5,-87.5,"Papilio cresphontes"
