"","estimate","low_ci","high_ci","year","lat_bin","lon_bin","scientificName","obs"
"1",179,158,199,2015,41.5,-93.5,"Danaus plexippus",31
"2",183.8,152,219,2016,41.5,-93.5,"Danaus plexippus",17
"3",190,176,192.1,2017,41.5,-93.5,"Danaus plexippus",14
"4",154,146,184,2018,41.5,-93.5,"Danaus plexippus",28
"5",206.8,172,218,2018,38.5,-90.5,"Danaus plexippus",127
"6",174,174,233.2,2018,41.5,-90.5,"Danaus plexippus",15
"7",189.2,134,203,2018,40.5,-89.5,"Danaus plexippus",13
"8",208.4,202,213.2,2015,41.5,-88.5,"Danaus plexippus",10
"9",202.3,177,210,2017,41.5,-88.5,"Danaus plexippus",12
"10",180.1,144,185.1,2018,41.5,-88.5,"Danaus plexippus",82
"11",182.1,178,186.1,2014,41.5,-87.5,"Danaus plexippus",13
"12",192,165,198.8,2015,41.5,-87.5,"Danaus plexippus",34
"13",219.8,201,226.8,2016,41.5,-87.5,"Danaus plexippus",39
"14",175.6,163.6,189,2017,41.5,-87.5,"Danaus plexippus",122
"15",174,164,176,2018,41.5,-87.5,"Danaus plexippus",347
"16",195,168,200,2018,41.5,-85.5,"Danaus plexippus",13
"17",216.5,206,224.9,2015,39.5,-84.5,"Danaus plexippus",11
"18",193.6,177,230.6,2016,39.5,-84.5,"Danaus plexippus",65
"19",166.4,143,183.8,2017,39.5,-84.5,"Danaus plexippus",94
"20",190,165,195,2017,41.5,-83.5,"Danaus plexippus",41
"21",256.4,251,272.6,2016,39.5,-82.5,"Danaus plexippus",11
"22",205.2,201,211,2017,39.5,-82.5,"Danaus plexippus",19
"23",215,215,227.8,2017,40.5,-82.5,"Danaus plexippus",12
"24",193,156,207,2014,41.5,-81.5,"Danaus plexippus",20
"25",203,165,209.8,2015,41.5,-81.5,"Danaus plexippus",64
"26",203.9,164,213.8,2016,41.5,-81.5,"Danaus plexippus",42
"27",196,179,198,2017,41.5,-81.5,"Danaus plexippus",126
"28",208.2,170,223.8,2015,38.5,-77.5,"Danaus plexippus",13
"29",197.8,140,234.4,2016,38.5,-77.5,"Danaus plexippus",54
"30",193.3,175.3,204,2017,38.5,-77.5,"Danaus plexippus",115
"31",175,128.6,191.8,2015,41.5,-93.5,"Phyciodes tharos",33
"32",219.1,179,222.7,2016,41.5,-93.5,"Phyciodes tharos",22
"33",147.2,146,174,2018,41.5,-93.5,"Phyciodes tharos",13
"34",183.2,173.6,201.6,2018,38.5,-90.5,"Phyciodes tharos",54
"35",193.5,138,210,2018,41.5,-88.5,"Phyciodes tharos",22
"36",153,149,156,2014,41.5,-87.5,"Phyciodes tharos",11
"37",166,141,204,2015,41.5,-87.5,"Phyciodes tharos",13
"38",224.8,129,238.2,2016,41.5,-87.5,"Phyciodes tharos",23
"39",162.8,154,177.1,2017,41.5,-87.5,"Phyciodes tharos",48
